,,,,,,0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,ITEM,DESCREPTION,QUANTITY,UNIT PRICE (INR),RUNNING TOTAL (INR) ,URL
,,,,,,,
FROM FLIPKART :,,,,,,,
,,,,,,,
,,Foam Board,Main structure,2,405,810,"Pencraft FoamBoard Sunboard Sheet for Architecture,Model,Craft,Mount,5MM,12X16INCH,4PCS"
,,Control Horns,Control Part,1,178,988,AES RC Control Horns for Toy Plane / RC Aircraft (Pack of 5) Educational Electronic Hobby Kit
,,Hot Glue Gun,For joining ,1,378,1366,APTECHDEALS Max 100 Watt With 5 Sticks High Temperature Corded Glue Gun
,,Joystick module,Control Part,2,270,1906,Tech Aura Analog 3D Joystick for PS4 Wireless Controller Gaming Accessory Kit
,,,,,,,
FROM ROBOCRAZE :,,,,,,,
,,,,,,,
,,ESP32 CAM ,CAM module,1,669,669,ESP32 CAM WiFi Module with OV3660 Camera Module 3MP 
,,Servo Motor,EMAX MG Motor,2,849,2367,ES08MA II 12g Metal Gear Micro Servo 
,,BLDC + ESC ,Main Motor with Propellor,2,799,3965,A2212 1400KV BLDC Motor and Simonk 30A ESC with 1045 Propellers for RC Drones 
,,Antennea,3dBi Wifi,2,69,4103,3dBi Dual Band WiFi Antenna with Cable for Wireless Routers 
,,Antennea,6dBi Wifi,2,62,4227,6dBi 2.4GHz 5GHz Dual Band WiFi SMA Antenna +165mm U.fl-IPEX Cable 
,,Battery,11.1v 2200mAh Bonka LiPo,1,1959,6186,11.1V 2200mAh 35C 3S1P Bonka Lipo Battery 
,,Battery Charger,Imax B3 Lipo Charger,1,339,6525,Imax B3 Pro LiPo Battery Charger 
,,,,,,,
FROM HUBTRONICS :,,,,,,,
,,NRF24L01 ,Communication module,2,695,1390,Ebyte E01-2G4M27D NRF24l01 PA LNA 27dBm 2.4GHz Wireless Transceiver Module
,,,,,,,
FROM AMAZON : ,,,,,,,
,,Push Rod + Linkage stopper,Control Part,1,599,599,https://www.amazon.in/gp/product/B0D4MR7DMG/ref=ox_sc_act_title_5?smid=A2A9WH3P6CP3W2&psc=1
,,Piler Flat Nose,Required Tool,1,163,762,https://www.amazon.in/gp/product/B0FSSWQJBS/ref=ox_sc_act_title_4?smid=A36SPTEQVXBK0C&psc=1
,,Taparia Side Cutter,Required Tool,1,179,941,https://www.amazon.in/gp/product/B00P66NXIY/ref=ox_sc_act_title_3?smid=AJ6SIZC8YQDZX&psc=1
,,Plastic Hinges ,Control Part,1,460,1401,https://www.amazon.in/gp/product/B0FH4Q7HZ8/ref=ox_sc_act_title_2?smid=AH0KEO6T9U8SH&psc=1
,,Landing Tyre,Landing Tyre,1,630,2031,https://www.amazon.in/gp/product/B0CVKQ3JVF/ref=ox_sc_act_title_1?smid=A2A9WH3P6CP3W2&psc=1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,Grand Total : ,11852 INR,
,,,,,Grand Total : ,130.62 USD,
